Designator,Footprint,Quantity,Value,LCSC Part #
1,PCM5102A-AMZN-BOARD,1,~,
DS1,LCD_OLED_128X64_1.3_I2C3D,1,OLED_128X64_1.3_I2C,
J1,Pin_Header_Angled_2x20_Pitch2.54mm,1,Conn_02x20_Odd_Even_Shielded,
"SW2, SW3, SW4",SW_1825910-6-43D,3,1825910-6,
U1,KY-040-PORT3D,1,KY-040,
